blockNumber,timeStamp,value,functionName
818342,1710446499,0.1014,mint()
818819,1710447453,0.11,mint()
818881,1710447577,0.10403,mint()
818917,1710447649,0.10403,mint()
818962,1710447739,0.10427,mint()
818996,1710447807,0.10502,mint()
819014,1710447843,0.106,mint()
819037,1710447889,0.10655,mint()
819065,1710447945,0.10732,mint()
819777,1710449369,0.10876,mint()
819778,1710449371,0.10955,mint()
819780,1710449375,0.10955,mint()
819783,1710449381,0.11035,mint()
819786,1710449387,0.11196,mint()
819787,1710449389,0.11196,mint()
819788,1710449391,0.11196,mint()
819790,1710449395,0.11277,mint()
819793,1710449401,0.11359,mint()
819794,1710449403,0.11359,mint()
819794,1710449403,0.11359,mint()
819795,1710449405,0.11359,mint()
819795,1710449405,0.11359,mint()
819795,1710449405,0.11359,mint()
819796,1710449407,0.11359,mint()
819798,1710449411,0.11609,mint()
819799,1710449413,0.11609,mint()
819800,1710449415,0.11694,mint()
819802,1710449419,0.11694,mint()
819803,1710449421,0.11694,mint()
819805,1710449425,0.11779,mint()
819805,1710449425,0.11865,mint()
819806,1710449427,0.12038,mint()
819806,1710449427,0.11951,mint()
819808,1710449431,0.12126,mint()
819811,1710449437,0.12214,mint()
819815,1710449445,0.12574,mint()
819815,1710449445,0.12574,mint()
819818,1710449451,0.12665,mint()
819819,1710449453,0.12665,mint()
819820,1710449455,0.12944,mint()
819821,1710449457,0.13038,mint()
819822,1710449459,0.13038,mint()
819822,1710449459,0.12944,mint()
819825,1710449465,0.13038,mint()
819826,1710449467,0.13038,mint()
819827,1710449469,0.13422,mint()
819828,1710449471,0.13422,mint()
819828,1710449471,0.13718,mint()
819828,1710449471,0.13422,mint()
819829,1710449473,0.13718,mint()
819838,1710449491,0.14537,mint()
819838,1710449491,0.14537,mint()
819838,1710449491,0.1475,mint()
819839,1710449493,0.14537,mint()
819842,1710449499,0.15074,mint()
819848,1710449511,0.1586,mint()
819848,1710449511,0.1586,mint()
819849,1710449513,0.1586,mint()
819849,1710449513,0.1586,mint()
819850,1710449515,0.1586,mint()
819850,1710449515,0.1586,mint()
819857,1710449529,0.16565,mint()
819859,1710449533,0.17053,mint()
819860,1710449535,0.17053,mint()
819863,1710449541,0.17555,mint()
819865,1710449545,0.17812,mint()
819867,1710449549,0.17942,mint()
819870,1710449555,0.17942,mint()
819872,1710449559,0.18072,mint()
819873,1710449561,0.18072,mint()
819876,1710449567,0.1874,mint()
819878,1710449571,0.1874,mint()
819879,1710449573,0.18876,mint()
819880,1710449575,0.18876,mint()
819882,1710449579,0.18876,mint()
819887,1710449589,0.19291,mint()
819893,1710449601,0.19291,mint()
819894,1710449603,0.20593,mint()
819897,1710449609,0.21354,mint()
819898,1710449611,0.20004,mint()
819899,1710449613,0.21509,mint()
819900,1710449615,0.21354,mint()
819901,1710449617,0.21354,mint()
819901,1710449617,0.21509,mint()
819903,1710449621,0.21824,mint()
819905,1710449625,0.21824,mint()
819905,1710449625,0.21824,mint()
819907,1710449629,0.22466,mint()
819908,1710449631,0.23297,mint()
819908,1710449631,0.22795,mint()
819911,1710449637,0.23296,mint()
819914,1710449643,0.24689,mint()
819917,1710449649,0.24869,mint()
819917,1710449649,0.24689,mint()
819920,1710449655,0.25601,mint()
819920,1710449655,0.25601,mint()
819922,1710449659,0.25601,mint()
819922,1710449659,0.25601,mint()
819923,1710449661,0.25601,mint()
819926,1710449667,0.26164,mint()
819929,1710449673,0.26935,mint()
819931,1710449677,0.26935,mint()
819932,1710449679,0.27131,mint()
819934,1710449683,0.27328,mint()
819934,1710449683,0.27328,mint()
819940,1710449695,0.28338,mint()
819942,1710449699,0.28752,mint()
819944,1710449703,0.28752,mint()
819945,1710449705,0.28752,mint()
819948,1710449711,0.28961,mint()
819950,1710449715,0.29384,mint()
819952,1710449719,0.29384,mint()
819953,1710449721,0.29598,mint()
819954,1710449723,0.29384,mint()
819954,1710449723,0.29598,mint()
819955,1710449725,0.29598,mint()
819956,1710449727,0.30031,mint()
819960,1710449735,0.3047,mint()
819973,1710449761,0.3114,mint()
819974,1710449763,0.31595,mint()
819976,1710449767,0.31595,mint()
819979,1710449773,0.31825,mint()
819990,1710449795,0.33,mint()
819992,1710449799,0.33,mint()
819996,1710449807,0.33482,mint()
820001,1710449817,0.33726,mint()
820005,1710449825,0.33726,mint()
820011,1710449837,0.33971,mint()
820020,1710449855,0.34218,mint()
820024,1710449863,0.34467,mint()
820038,1710449891,0.35225,mint()
820059,1710449933,0.35739,mint()
820059,1710449933,0.35738,mint()
820066,1710449947,0.35998,mint()
820071,1710449957,0.36524,mint()
820073,1710449961,0.36524,mint()
820078,1710449971,0.37058,mint()
820085,1710449985,0.37873,mint()
820090,1710449995,0.38148,mint()
820092,1710449999,0.38148,mint()
820094,1710450003,0.38426,mint()
820095,1710450005,0.38426,mint()
820098,1710450011,0.38705,mint()
820105,1710450025,0.38987,mint()
820112,1710450039,0.39557,mint()
820116,1710450047,0.40135,mint()
820130,1710450075,0.41316,mint()
820140,1710450095,0.41616,mint()
820146,1710450107,0.41919,mint()
820151,1710450117,0.42224,mint()
820161,1710450137,0.43152,mint()
820163,1710450141,0.43152,mint()
820172,1710450159,0.44101,mint()
820183,1710450181,0.44745,mint()
820187,1710450189,0.45071,mint()
820190,1710450195,0.45071,mint()
820193,1710450201,0.45399,mint()
820194,1710450203,0.45398,mint()
820200,1710450215,0.45729,mint()
820208,1710450231,0.46734,mint()
820212,1710450239,0.46734,mint()
820213,1710450241,0.47074,mint()
820223,1710450261,0.47762,mint()
820231,1710450277,0.47762,mint()
820236,1710450287,0.48109,mint()
820244,1710450303,0.48458,mint()
820247,1710450309,0.48811,mint()
820260,1710450335,0.49524,mint()
820262,1710450339,0.49524,mint()
820266,1710450347,0.49884,mint()
820269,1710450353,0.50247,mint()
820271,1710450357,0.50247,mint()
820276,1710450367,0.50612,mint()
820278,1710450371,0.50612,mint()
820281,1710450377,0.5098,mint()
820294,1710450403,0.51351,mint()
820419,1710450653,0.5209,mint()
820537,1710450889,0.53227,mint()
820539,1710450893,0.53227,mint()
820547,1710450909,0.53613,mint()
820570,1710450955,0.54396,mint()
820587,1710450989,0.5479,mint()
820592,1710450999,0.55188,mint()
820610,1710451035,0.55589,mint()
820625,1710451065,0.55992,mint()
820634,1710451083,0.56399,mint()
820643,1710451101,0.56809,mint()
820653,1710451121,0.57222,mint()
820690,1710451195,0.57635,mint()
820742,1710451299,0.58051,mint()
820832,1710451479,0.58464,mint()
820852,1710451519,0.58888,mint()
820904,1710451623,0.59311,mint()
821058,1710451931,0.59729,mint()
821170,1710452155,0.60152,mint()
821175,1710452165,0.60589,mint()
821403,1710452621,0.61007,mint()
821760,1710453335,0.61414,mint()
821892,1710453599,0.61848,mint()
821997,1710453809,0.62287,mint()
822012,1710453839,0.6274,mint()
822108,1710454031,0.63186,mint()
822395,1710454605,0.63616,mint()
822852,1710455519,0.6403,mint()
823062,1710455939,0.64474,mint()
823515,1710456845,0.64894,mint()
823569,1710456953,0.65361,mint()
823823,1710457461,0.65808,mint()
825021,1710459857,0.66155,mint()
825516,1710460847,0.66581,mint()
825632,1710461079,0.67053,mint()
827596,1710465007,0.67319,mint()
827791,1710465397,0.67788,mint()
899854,1710609523,0.60936,mint()
1065512,1710940839,0.4647,mint()
1069639,1710949093,0.46485,mint()
1069666,1710949147,0.46821,mint()
1148783,1711107381,0.41594,mint()
1164604,1711139023,0.40797,mint()
1165355,1711140525,0.41043,mint()
1165447,1711140709,0.41336,mint()
1165456,1711140727,0.41636,mint()
1165479,1711140773,0.41634,mint()
1165515,1711140845,0.41935,mint()
1165555,1711140925,0.42237,mint()
1165566,1711140947,0.42544,mint()
1165568,1711140951,0.42544,mint()
1165574,1711140963,0.42854,mint()
1165585,1711140985,0.43165,mint()
1165639,1711141093,0.43475,mint()
1165640,1711141095,0.43476,mint()
1165647,1711141109,0.43792,mint()
1165652,1711141119,0.4411,mint()
1165656,1711141127,0.4411,mint()
1165657,1711141129,0.4411,mint()
1165660,1711141135,0.44431,mint()
1165666,1711141147,0.44754,mint()
1165667,1711141149,0.44754,mint()
1165672,1711141159,0.45079,mint()
1165684,1711141183,0.45407,mint()
1165691,1711141197,0.45737,mint()
1165699,1711141213,0.46069,mint()
1165736,1711141287,0.46403,mint()
1165738,1711141291,0.46402,mint()
1165990,1711141795,0.4672,mint()
1166059,1711141933,0.47055,mint()
1166234,1711142283,0.47384,mint()
1166447,1711142709,0.47712,mint()
1166581,1711142977,0.48049,mint()
1166607,1711143029,0.48396,mint()
1166613,1711143041,0.48748,mint()
1166622,1711143059,0.49103,mint()
1166627,1711143069,0.4946,mint()
1166629,1711143073,0.4946,mint()
1166634,1711143083,0.4982,mint()
1166647,1711143109,0.50181,mint()
1166648,1711143111,0.50181,mint()
1166658,1711143131,0.50914,mint()
1166787,1711143389,0.51274,mint()
1166794,1711143403,0.51647,mint()
1166904,1711143623,0.52013,mint()
1166910,1711143635,0.52391,mint()
1166917,1711143649,0.52772,mint()
1166925,1711143665,0.53156,mint()
1166957,1711143729,0.5354,mint()
1166963,1711143741,0.5393,mint()
1166968,1711143751,0.54322,mint()
1166973,1711143761,0.54717,mint()
1167067,1711143949,0.55107,mint()
1167072,1711143959,0.55508,mint()
1167088,1711143991,0.55911,mint()
1167093,1711144001,0.56318,mint()
1167108,1711144031,0.56726,mint()
1167113,1711144041,0.57139,mint()
1167119,1711144053,0.57555,mint()
1167126,1711144067,0.58395,mint()
1167147,1711144109,0.5882,mint()
1167155,1711144125,0.59246,mint()
1167160,1711144135,0.59677,mint()
1167161,1711144137,0.59246,mint()
1167179,1711144173,0.60111,mint()
1167200,1711144215,0.60546,mint()
1167233,1711144281,0.60983,mint()
1167273,1711144361,0.61423,mint()
1167278,1711144371,0.61423,mint()
1167279,1711144373,0.6187,mint()
1167301,1711144417,0.62319,mint()
1167320,1711144455,0.62771,mint()
1167336,1711144487,0.63226,mint()
1167362,1711144539,0.63683,mint()
1167362,1711144539,0.63684,mint()
1167379,1711144573,0.64147,mint()
1167381,1711144577,0.64145,mint()
1167404,1711144623,0.65081,mint()
1167412,1711144639,0.65554,mint()
1167416,1711144647,0.66031,mint()
1167419,1711144653,0.66511,mint()
1167422,1711144659,0.66995,mint()
1167425,1711144665,0.66995,mint()
1167427,1711144669,0.67483,mint()
1167429,1711144673,0.67482,mint()
1167430,1711144675,0.67483,mint()
1167431,1711144677,0.67974,mint()
1167432,1711144679,0.67974,mint()
1167436,1711144687,0.68468,mint()
1167439,1711144693,0.68468,mint()
1167440,1711144695,0.68967,mint()
1167441,1711144697,0.68966,mint()
1167445,1711144705,0.69468,mint()
1167448,1711144711,0.69974,mint()
1167451,1711144717,0.69974,mint()
1167453,1711144721,0.70483,mint()
1167458,1711144731,0.70996,mint()
1167464,1711144743,0.71512,mint()
1167471,1711144757,0.72557,mint()
1167476,1711144767,0.72032,mint()
1167478,1711144771,0.73085,mint()
1167483,1711144781,0.73616,mint()
1167487,1711144789,0.74152,mint()
1167488,1711144791,0.73616,mint()
1167492,1711144799,0.74691,mint()
1167493,1711144801,0.74691,mint()
1167507,1711144829,0.74689,mint()
1167522,1711144859,0.75231,mint()
1167546,1711144907,0.75776,mint()
1167640,1711145095,0.76316,mint()
1167658,1711145131,0.76871,mint()
1167850,1711145515,0.77404,mint()
1167868,1711145551,0.77967,mint()
1167888,1711145591,0.78531,mint()
1167913,1711145641,0.791,mint()
1167959,1711145733,0.7967,mint()
1168005,1711145825,0.80244,mint()
1168026,1711145867,0.80825,mint()
1168077,1711145969,0.82,mint()
1168088,1711145991,0.82596,mint()
1168097,1711146009,0.83196,mint()
1168113,1711146041,0.838,mint()
1168125,1711146065,0.84408,mint()
1168171,1711146157,0.85017,mint()
1168202,1711146219,0.85631,mint()
1168219,1711146253,0.86881,mint()
1168255,1711146325,0.87508,mint()
1168274,1711146363,0.88143,mint()
1168297,1711146409,0.88782,mint()
1168339,1711146493,0.89422,mint()
1168360,1711146535,0.9007,mint()
1168400,1711146615,0.9072,mint()
1168407,1711146629,0.9138,mint()
1168412,1711146639,0.92044,mint()
1168440,1711146695,0.9271,mint()
1168449,1711146713,0.93384,mint()
1168459,1711146733,0.93383,mint()
1168464,1711146743,0.94062,mint()
1168468,1711146751,0.94746,mint()
1168471,1711146757,0.94746,mint()
1168484,1711146783,0.95434,mint()
1168491,1711146797,0.96128,mint()
1168576,1711146967,0.96814,mint()
1168596,1711147007,0.97516,mint()
1168629,1711147073,0.98221,mint()
1168643,1711147101,0.98935,mint()
1168660,1711147135,0.99652,mint()
1168662,1711147139,0.99652,mint()
1168671,1711147157,1.00376,mint()
1168676,1711147167,1.01106,mint()
1168699,1711147213,1.01839,mint()
1168728,1711147271,1.02575,mint()
1168737,1711147289,1.03321,mint()
1168745,1711147305,1.04072,mint()
1168745,1711147305,1.04072,mint()
1168749,1711147313,1.04829,mint()
1168774,1711147363,1.05589,mint()
1168783,1711147381,1.06356,mint()
1168790,1711147395,1.06355,mint()
1168791,1711147397,1.07129,mint()
1168812,1711147439,1.07906,mint()
1168818,1711147451,1.0869,mint()
1168844,1711147503,1.09477,mint()
1168860,1711147535,1.10271,mint()
1168869,1711147553,1.1027,mint()
1168883,1711147581,1.11879,mint()
1168911,1711147637,1.12689,mint()
1168924,1711147663,1.12686,mint()
1168929,1711147673,1.13506,mint()
1168929,1711147673,1.13506,mint()
1168946,1711147707,1.1433,mint()
1168948,1711147711,1.15162,mint()
1168968,1711147751,1.15997,mint()
1168970,1711147755,1.14332,mint()
1168979,1711147773,1.16839,mint()
1169002,1711147819,1.18543,mint()
1169018,1711147851,1.19403,mint()
1169058,1711147931,1.20265,mint()
1169086,1711147987,1.21135,mint()
1169116,1711148047,1.229,mint()
1169130,1711148075,1.24694,mint()
1169175,1711148165,1.25593,mint()
1169207,1711148229,1.26501,mint()
1169213,1711148241,1.27421,mint()
1169216,1711148247,1.28348,mint()
1169223,1711148261,1.29282,mint()
1169230,1711148275,1.30222,mint()
1169237,1711148289,1.31168,mint()
1169238,1711148291,1.31169,mint()
1169239,1711148293,1.31168,mint()
1169240,1711148295,1.31168,mint()
1169250,1711148315,1.33083,mint()
1169254,1711148323,1.33083,mint()
1169256,1711148327,1.34051,mint()
1169258,1711148331,1.34051,mint()
1169280,1711148375,1.36006,mint()
1169285,1711148385,1.36995,mint()
1169293,1711148401,1.37991,mint()
1169312,1711148439,1.38992,mint()
1169317,1711148449,1.40003,mint()
1169335,1711148485,1.41018,mint()
1169369,1711148553,1.42037,mint()
1169386,1711148587,1.43067,mint()
1169388,1711148591,1.43067,mint()
1169389,1711148593,1.44109,mint()
1169412,1711148639,1.45153,mint()
1169417,1711148649,1.46209,mint()
1169441,1711148697,1.47267,mint()
1169447,1711148709,1.48339,mint()
1169460,1711148735,1.49416,mint()
1169467,1711148749,1.50502,mint()
1169473,1711148761,1.51597,mint()
1169482,1711148779,1.52699,mint()
1169488,1711148791,1.5381,mint()
1169490,1711148795,1.53809,mint()
1169520,1711148855,1.54921,mint()
1169526,1711148867,1.56048,mint()
1169554,1711148923,1.57178,mint()
1169589,1711148993,1.58313,mint()
1169605,1711149025,1.59462,mint()
1169716,1711149247,1.60594,mint()
1169724,1711149263,1.61761,mint()
1169796,1711149407,1.6292,mint()
1169805,1711149425,1.64104,mint()
1169812,1711149439,1.62924,mint()
1169818,1711149451,1.64105,mint()
1169828,1711149471,1.65294,mint()
1169833,1711149481,1.66495,mint()
1169841,1711149497,1.67705,mint()
1169846,1711149507,1.68926,mint()
1169849,1711149513,1.68925,mint()
1169855,1711149525,1.70153,mint()
1169861,1711149537,1.71391,mint()
1169954,1711149723,1.75137,mint()
1169959,1711149733,1.7641,mint()
1170015,1711149845,1.78972,mint()
1170219,1711150253,1.80215,mint()
1170263,1711150341,1.81513,mint()
1170304,1711150423,1.82824,mint()
1170329,1711150473,1.84146,mint()
1170335,1711150485,1.85486,mint()
1170343,1711150501,1.86834,mint()
1170414,1711150643,1.89545,mint()
1170440,1711150695,1.90916,mint()
1170550,1711150915,1.9227,mint()
1170562,1711150939,1.93667,mint()
1170691,1711151197,1.95036,mint()
1170746,1711151307,1.96438,mint()
1170751,1711151317,1.97866,mint()
1170862,1711151539,1.9927,mint()
1170908,1711151631,2.00707,mint()
1170914,1711151643,2.02166,mint()
1170919,1711151653,2.03637,mint()
1170925,1711151665,2.05118,mint()
1170927,1711151669,2.05117,mint()
1170931,1711151677,2.0661,mint()
1170941,1711151697,2.08111,mint()
1170947,1711151709,2.09625,mint()
1171055,1711151925,2.12651,mint()
1171372,1711152559,2.14087,mint()
1171395,1711152605,2.1409,mint()
1171406,1711152627,2.15633,mint()
1171892,1711153599,2.17027,mint()
1171970,1711153755,2.18578,mint()
1172244,1711154303,2.20072,mint()
1172286,1711154387,2.21657,mint()
1172303,1711154421,2.23264,mint()
1172312,1711154439,2.24888,mint()
1172330,1711154475,2.26518,mint()
1172377,1711154569,2.2815,mint()
1172705,1711155225,2.29685,mint()
1173415,1711156645,2.31084,mint()
1174215,1711158245,2.32453,mint()
1174489,1711158793,2.34052,mint()
1179093,1711168001,2.33927,mint()
1180043,1711169901,2.35254,mint()
1186627,1711183069,2.34362,mint()
1187391,1711184597,2.35767,mint()
1188651,1711187117,2.36984,mint()
1188967,1711187749,2.38581,mint()
1197696,1711205207,2.36819,mint()
1200476,1711210767,2.37432,mint()
1202511,1711214837,2.38347,mint()
1212264,1711234343,2.3618,mint()
1222562,1711254939,2.33823,mint()
1269284,1711348383,2.17745,mint()
1281824,1711373463,2.14758,mint()
1281829,1711373473,2.16321,mint()
1281842,1711373499,2.17891,mint()
1282685,1711375185,2.1917,mint()
1285384,1711380583,2.1977,mint()
1286498,1711382811,2.20955,mint()
1294250,1711398315,2.19683,mint()
1304632,1711419079,2.17458,mint()
1317261,1711444337,2.14443,mint()
1334037,1711477889,2.10003,mint()
1338482,1711486779,2.0996,mint()
1338723,1711487261,2.11402,mint()
1349124,1711508063,2.09254,mint()
1365870,1711541555,2.0493,mint()
1369388,1711548591,2.05207,mint()
1379714,1711569243,2.03147,mint()
1412758,1711635331,1.93577,mint()
1429326,1711668467,1.91016,mint()
